Время,WELL_ID,WELL_OP_ID,CASING_DIAMETER,TUBING_DIAMETER,CHOKE_DIAMETER,PERF_DEPTH,PERF_DEPTH_DELTA,PROD_METHOD,PUMP_TYPE,PUMP_CAPACITY,LIQ_RATE_TH,PUMP_FREQ,PUMP_DEPTH,BUFFER_PRESSURE,INLINE_PRESSURE,SHUT_PRESSURE,LIQUID_LEVEL_DYN,CASING_PRESSURE,INTAKE_PRESSURE,FLOW_PRESSURE,OIL_RATE,LIQ_RATE,WATER_CUT,STATUS,BUBBLE_POINT_PRESSURE,GAS_FACTOR,SKIN,JD,OIL_VISCOSITY,LIQUID_VISCOSITY,OIL_COMPRESSIBILITY,OIL_DENSITY,WATER_DENSITY,PERF_THICKNESS,KH,PI,LIQ_RATE_TP_TECH,LIQ_RATE_TP_CORR_TECH,OIL_RATE_TP_TECH,JD_OPT,SKIN_CALC,PI_TP_SKIN,LIQ_RATE_TP_SKIN_CORR_TECH,LIQ_RATE_TP_SKIN_TECH,OIL_RATE_TP_SKIN_TECH,PEK,STAB_TIME,REMARKS,START_DATE,STOP_DATE,CONTOUR_RADIUS,IS_EFFICIENT,NON_STABLE,LAYER_FLOW_PRESSURE_FACT,SATURATED_THICKNESS,STATIC_CASING_PRESSURE,STATIC_LEVEL,PUMP_CURRENT,ROCKING_COUNT,PLUNGER_STROKE_LENGTH,PLUNGER_DIAMETER,ROD_TYPE,LIQ_RATE_TP,LIQ_RATE_TP_CORR,OIL_RATE_TP,LIQ_RATE_TP_SKIN,LIQ_RATE_TP_SKIN_CORR,OIL_RATE_TP_SKIN,ACT_TIME,PERIODICITY_TIME,PERIODICITY_WORK_TIME,PUMP_INSTALL_DATE,PAKER_TYPE_ID,PAKER_INSTALL_DATE,PAKER_DEPTH,PI_FIXED,KH_FIXED,PACKED_LIQ_RATE,LIQUID,OIL,CONFIRMED,UPSERTED_BY,UPSERTED_ON,SHUT_PRESSURE_INIT,MOTOR_TYPE,REPAIR_TYPE,START_AFTER_REPAIR,PUMP_CURRENT_NOM,SEPARATION_FACTOR,TEMPERATURE,WATER_VISCOSITY,TARGET_FLOW_PRESSURE
2013-11-20,11639,110730,130.6,73.0,18.0,2585.0,74.88,11,25,25.0,2000.0,50.0,2462.0,9.0,8.0,169.0,2028.0,10.0,0.0,52.5236565065457,0.6,3.0,75.0,1,156.0,264.0,-5.53,0.0,0.41,2.30579964850615,1.473,0.811,1.014,10.0,4.32178711070722,0.0301539400999434,3.12,3.12,0.6,1.06078065077185,-6.13134404954848,0.205232244845082,21.21,21.21,4.3003275,58.35,322.325899838726,,2012/09/29 00:00:00.000,1900/01/01 00:00:00.000,250.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1900/01/01 00:00:00.000,0,1900/01/01 00:00:00.000,0.0,0.0,8.5,0.0,0.0,0.0,1,,,,,,,,,,,
2013-10-20,11639,113637,130.6,73.0,18.0,2585.0,74.88,11,25,25.0,2000.0,50.0,2462.0,9.0,8.0,169.0,2023.0,9.0,0.0,50.6086406437455,0.6,3.0,75.0,1,156.0,674.0,-5.53,0.0,0.41,2.30579964850615,1.473,0.811,1.014,10.0,4.29365043548536,0.0299576251039665,3.0,3.0,0.6,1.06078065077185,-6.13134404954848,0.205232244845082,20.55,20.55,4.1665125,58.35,322.325899838726,,2012/09/29 00:00:00.000,1900/01/01 00:00:00.000,250.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1900/01/01 00:00:00.000,0,1900/01/01 00:00:00.000,0.0,0.0,8.5,0.0,0.0,0.0,1,,,,,,,,,,,
2013-09-20,11639,116541,130.6,73.0,18.0,2585.0,74.88,11,25,25.0,2000.0,50.0,2462.0,9.0,8.0,169.0,1847.0,10.0,49.0,53.2773430702981,0.6,3.0,75.0,1,156.0,674.0,-5.53,0.0,0.41,2.30579964850615,1.473,0.811,1.014,10.0,4.33400796032472,0.0302392073187806,3.0,3.0,0.6,1.06078065077185,-6.13134404954848,0.205232244845082,20.36,20.36,4.12799,58.35,322.325899838726,,2012/09/29 00:00:00.000,1900/01/01 00:00:00.000,250.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1900/01/01 00:00:00.000,0,1900/01/01 00:00:00.000,0.0,0.0,8.5,0.0,0.0,0.0,1,,,,,,,,,,,
2013-08-20,11639,119439,130.6,73.0,18.0,2585.0,74.88,11,25,25.0,2000.0,50.0,2462.0,11.0,10.0,169.0,2004.0,11.0,49.0,53.2773433477686,0.6,3.0,75.0,1,156.0,719.0,-5.53,0.0,0.41,2.30579964850615,1.473,0.811,1.014,10.0,4.334007969812,0.0302392073849752,3.0,3.0,0.6,1.06078065077185,-6.13134404954848,0.205232244845082,20.36,20.36,4.12799,58.35,322.325899838726,,2012/09/29 00:00:00.000,1900/01/01 00:00:00.000,250.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1900/01/01 00:00:00.000,0,1900/01/01 00:00:00.000,0.0,0.0,8.5,0.0,0.0,0.0,1,,,,,,,,,,,
2013-07-20,11639,122321,130.6,73.0,18.0,2585.0,74.88,11,25,25.0,2000.0,50.0,2462.0,9.0,8.0,169.0,1847.0,9.7,49.0,53.2773399089007,0.4,2.0,75.0,1,156.0,757.0,-5.53,0.0,0.41,2.30579964850615,1.473,0.811,1.014,10.0,2.8893385681534,0.0201594710430558,2.0,2.0,0.4,1.06078065077185,-6.13134404954848,0.205232244845082,20.36,20.36,4.12799,58.35,322.325899838726,,2012/09/29 00:00:00.000,1900/01/01 00:00:00.000,250.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1900/01/01 00:00:00.000,0,1900/01/01 00:00:00.000,0.0,0.0,8.5,0.0,0.0,0.0,1,,,,,,,,,,,
2013-06-20,11639,125164,130.6,73.0,18.0,2585.0,74.88,11,25,25.0,2000.0,50.0,2462.0,9.0,8.0,169.0,2001.0,8.7,49.0,53.2773399089007,0.4,2.0,75.0,1,156.0,757.0,-5.53,0.0,0.41,2.30579964850615,1.473,0.811,1.014,10.0,2.8893385681534,0.0201594710430558,2.0,2.0,0.4055,1.04097172761951,-6.11340512747054,0.212895699846624,21.12,21.12,4.28208,58.35,304.418905403242,,2012/09/29 00:00:00.000,1900/01/01 00:00:00.000,250.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1900/01/01 00:00:00.000,0,1900/01/01 00:00:00.000,0.0,0.0,9.0,0.0,0.0,0.0,1,,,,,,,,,,,
2013-05-20,11639,128039,130.6,60.0,18.0,2585.0,74.88,11,25,25.0,2000.0,50.0,2462.0,9.0,8.0,138.0,2045.0,8.8,49.0,53.1120246101416,0.7,2.0,57.0,1,162.0,673.0,-5.53,0.0,0.86,2.04609665427509,1.428,0.825,1.014,10.0,5.15419696125964,0.0287540805362746,2.0,2.0,0.7095,1.04097172761951,-6.11340512747054,0.227013772262891,15.79,15.79,5.6015025,58.35,270.132101133416,,2012/09/29 00:00:00.000,1900/01/01 00:00:00.000,250.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1900/01/01 00:00:00.000,0,1900/01/01 00:00:00.000,0.0,0.0,9.0,0.0,0.0,0.0,1,,,,,,,,,,,
2012-12-20,11639,136452,146.0,0.0,18.0,2510.12,0.0,11,25,25.0,2000.0,50.0,2462.0,9.0,8.0,200.0,1775.0,9.3,49.0,0.0,0.7,2.0,57.0,1,162.0,161.0,-4.0,0.0,0.86,0.934579439252336,1.428,0.825,1.014,10.0,1.2143653654629,0.0174821373155452,0.00950000000000006,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,1900/03/16 00:00:00.000,1900/01/01 00:00:00.000,250.0,0,0,53.0054142497829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1900/01/01 00:00:00.000,0,1900/01/01 00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,,,,,,
2013-01-20,11639,138342,146.0,0.0,18.0,2510.12,0.0,11,25,25.0,2000.0,50.0,2462.0,8.0,7.0,200.0,2000.0,10.0,49.0,0.0,0.7,2.0,57.0,1,162.0,161.0,-4.0,0.0,0.86,0.934579439252336,1.428,0.825,1.014,10.0,1.2143653654629,0.0174821373155452,0.00950000000000006,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,1900/05/17 00:00:00.000,1900/01/01 00:00:00.000,250.0,0,0,53.0054142497829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1900/01/01 00:00:00.000,0,1900/01/01 00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,,,,,,
2013-02-20,11639,139748,146.0,0.0,18.0,2510.12,0.0,11,25,25.0,2000.0,50.0,2462.0,8.0,7.0,200.0,1921.0,12.8,48.0,0.0,0.7,2.0,57.0,1,162.0,161.0,-4.0,0.0,0.86,0.934579439252336,1.428,0.825,1.014,10.0,1.21014258158184,0.0174213456545163,0.00950000000000006,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,1900/06/13 00:00:00.000,1900/01/01 00:00:00.000,250.0,0,0,52.0054142497829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1900/01/01 00:00:00.000,0,1900/01/01 00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,,,,,,
