Company;d_mm;frequency_nom;Parametr;I_0;I_1;I_2;I_3;I_4;I_5;I_6;eff_0;eff_1;eff_2;eff_3;eff_4;eff_5;eff_6;cos_0;cos_1;cos_2;cos_3;cos_4;cos_5;cos_6;f_0;f_1;f_2;f_3;f_4;f_5;f_6
Borez;95;50;I/I_nom;46.59646388;-0.485728842;0.040808014;-0.000930243;1.23E-05;-8.16E-08;2.13E-10;25.17372766;2.588852401;-0.04046212;0.000154262;2.26E-06;-2.53E-08;7.36E-11;0.240481781;-0.004398208;0.001044662;-2.87E-05;3.54E-07;-2.12E-09;4.97E-12;2859.958349;12.6887839;-0.627888179;0.014382296;-0.000183337;1.21E-06;-3.23E-09
Borez;95;60;I/I_nom;31.09553075;1.144916306;-0.026929454;0.000520467;-4.58E-06;1.87E-08;-2.54E-11;42.42159758;0.667654899;0.043783021;-0.001689912;2.35E-05;-1.48E-07;3.54E-10;0.259859423;-0.005548459;0.001103949;-3.04E-05;3.79E-07;-2.29E-09;5.39E-12;3658.5981;-10.82371216;0.419544223;-0.009016829;9.30E-05;-4.51E-07;8.00E-10
Borez;103;50;I/I_nom;35.78228072;1.049013766;-0.037335059;0.000987533;-1.23E-05;7.60E-08;-1.84E-10;27.09333182;3.813034222;-0.123080271;0.002284771;-2.45E-05;1.38E-07;-3.16E-10;0.309707904;-0.008092629;0.001047039;-2.71E-05;3.32E-07;-2.00E-09;4.75E-12;2934.80021;0.747120849;0.050511605;-0.004699225;9.38E-05;-7.66E-07;2.25E-09
Borez;103;60;I/I_nom;41.01223637;0.565913894;-0.021929282;0.000780771;-1.14E-05;7.89E-08;-2.09E-10;41.59953136;2.065344469;-0.041727093;0.000415444;-1.89E-06;9.61E-10;1.32E-11;0.270657491;-0.000629451;0.000584963;-1.44E-05;1.57E-07;-8.33E-10;1.72E-12;3587.971755;0.208920603;-0.184507647;0.006099433;-9.65E-05;7.11E-07;-1.98E-09
Borez;117;50;I/I_nom;45.14902498;-0.014642125;0.016249271;-0.000329167;4.46E-06;-3.01E-08;7.85E-11;54.77369192;1.321903031;-0.018176673;2.51E-05;1.73E-06;-1.68E-08;4.91E-11;0.124417357;0.014594961;-2.61E-05;-1.57E-06;1.52E-08;-3.73E-11;-4.15E-14;3023.213283;-5.76040177;0.250186621;-0.006360661;8.02E-05;-4.93E-07;1.17E-09
Borez;117;60;I/I_nom;43.10977455;0.320208989;-0.000217104;2.65E-05;7.15E-07;-1.17E-08;4.61E-11;51.24024863;1.659014159;-0.029179738;0.00016848;1.20E-06;-1.98E-08;6.92E-11;0.219521517;0.003248759;0.000464575;-1.20E-05;1.32E-07;-6.97E-10;1.44E-12;3772.66917;-22.46728576;0.935777173;-0.020704335;0.000241408;-1.43E-06;3.38E-09
Borez;130;50;I/I_nom;44.25056538;-0.150938397;0.022216959;-0.000427616;5.10E-06;-3.06E-08;7.23E-11;43.36778209;2.32644086;-0.056634096;0.00081559;-7.25E-06;3.61E-08;-7.64E-11;0.012242535;0.031813761;-0.000744146;1.29E-05;-1.40E-07;8.01E-10;-1.85E-12;2874.990137;11.74749888;-0.515550007;0.009663322;-9.10E-05;4.04E-07;-6.48E-10
Borez;130;60;I/I_nom;31.89872676;1.321915843;-0.045419841;0.001112199;-1.33E-05;7.99E-08;-1.90E-10;36.62887166;3.022185446;-0.08472991;0.001389113;-1.35E-05;7.12E-08;-1.55E-10;0.016110816;0.031400602;-0.000740546;1.30E-05;-1.41E-07;8.03E-10;-1.83E-12;3429.053569;18.4672791;-0.944316606;0.022527225;-0.000286113;1.83E-06;-4.62E-09
Borez;185;50;I/I_nom;-28.70479104;5.061516908;-0.16452331;0.00318476;-3.29E-05;1.74E-07;-3.73E-10;45.68015076;2.307733243;-0.062294435;0.000976061;-9.07E-06;4.61E-08;-9.90E-11;0.362630289;0.011955431;0.0002129;-1.11E-05;1.58E-07;-9.90E-10;2.36E-12;3074.315072;-10.53276206;0.486635406;-0.011823267;0.000149417;-9.46E-07;2.36E-09
Borez;185;60;I/I_nom;-18.89904944;4.35001898;-0.146450897;0.002990376;-3.22E-05;1.76E-07;-3.85E-10;42.1424451;2.674768573;-0.076189229;0.001211141;-1.09E-05;5.19E-08;-1.00E-10;0.192399364;0.032619927;-0.00073128;9.95E-06;-8.66E-08;4.40E-10;-9.63E-13;3526.47;8.886970368;-0.51377025;0.012560694;-0.00015753;9.80E-07;-2.40E-09
Novomet;96;50;I/I_nom;39.48296419;0.468013377;-0.009094492;0.000389885;-6.14E-06;4.67E-08;-1.39E-10;9.244139195;4.075970788;-0.096022107;0.001178694;-7.83E-06;2.60E-08;-3.27E-11;-0.770507408;2.193085438;-0.03047022;0.000400259;-4.72E-06;3.20E-08;-8.46E-11;2958.144132;1.867756994;-0.059945225;-0.0007175;2.57E-05;-2.22E-07;6.23E-10
Novomet;96;60;I/I_nom;48.42559664;-0.405656848;0.032060231;-0.000609807;6.45E-06;-3.18E-08;5.53E-11;18.34275375;1.990458812;-0.001383442;-0.000707718;1.14E-05;-7.27E-08;1.69E-10;-3.752364431;2.522142886;-0.036514943;0.000326856;-1.81E-06;5.36E-09;-5.33E-12;3551.987998;3.349709034;-0.158702111;0.0017271;-1.46E-06;-8.72E-08;3.89E-10
Novomet;103;50;I/I_nom;49.26674245;-1.075998669;0.064247533;-0.001416705;1.80E-05;-1.16E-07;2.97E-10;4.344225435;5.100114116;-0.144713406;0.002277336;-2.07E-05;1.02E-07;-2.10E-10;-3.478095392;2.744639036;-0.03923569;0.000367289;-2.56E-06;1.19E-08;-2.48E-11;3088.247564;-15.13906073;0.745558463;-0.019265929;0.000250859;-1.61E-06;4.01E-09
Novomet;103;60;I/I_nom;31.29754846;1.379134402;-0.058007956;0.001630362;-2.21E-05;1.49E-07;-3.96E-10;-21.97013199;5.753342537;-0.142176507;0.002071901;-1.87E-05;9.62E-08;-2.12E-10;-27.13364229;4.690673526;-0.098490613;0.001188109;-7.83E-06;2.44E-08;-2.32E-11;3332.391467;30.63640678;-1.382923913;0.028880189;-0.000319355;1.79E-06;-3.98E-09
Novomet;117;50;I/I_nom;45.16733287;0.583016727;-0.021320934;0.000706629;-1.01E-05;7.16E-08;-2.00E-10;-8.656258208;4.360141313;-0.066787454;0.000132015;6.46E-06;-6.32E-08;1.80E-10;0.183486098;2.449257424;-0.034808091;0.000392333;-3.73E-06;2.25E-08;-5.69E-11;2971.027274;3.656277324;-0.24111602;0.005737914;-7.31E-05;4.74E-07;-1.22E-09
Novomet;117;60;I/I_nom;41.27034964;1.150512678;-0.043526052;0.00116324;-1.53E-05;1.02E-07;-2.69E-10;-38.0420821;6.815535567;-0.171060567;0.002491233;-2.18E-05;1.05E-07;-2.16E-10;0.231903103;2.084722163;-0.025072164;0.000319185;-3.79E-06;2.54E-08;-6.69E-11;3286.415398;35.90011154;-1.62688714;0.034855429;-0.000394826;2.26E-06;-5.14E-09
Novomet;130;50;I/I_nom;39.27991721;0.178383845;0.001465174;0.000190885;-4.14E-06;3.87E-08;-1.36E-10;7.345567373;3.64146096;-0.059314298;0.000315846;1.66E-06;-2.51E-08;7.64E-11;6.884900618;2.028059075;-0.016956475;5.29E-06;8.08E-07;-5.22E-09;1.14E-11;3207.835947;-24.71022852;1.017629429;-0.021696481;0.000240369;-1.33E-06;2.91E-09
Novomet;130;60;I/I_nom;40.45148499;0.052516435;0.012201161;-0.00016355;1.61E-06;-7.78E-09;1.27E-11;2.739629101;3.339475089;-0.051937412;0.000443873;-2.83E-06;1.47E-08;-3.94E-11;3.635764018;2.502206778;-0.033291586;0.000256098;-1.26E-06;4.13E-09;-7.14E-12;3562.821346;4.979696261;-0.336772334;0.008148579;-0.000102383;6.33E-07;-1.52E-09
Novomet;143;50;I/I_nom;43.24297933;-0.613217131;0.047688544;-0.001065416;1.35E-05;-8.50E-08;2.07E-10;-1.617649057;5.07016298;-0.120845625;0.001575644;-1.19E-05;4.83E-08;-8.31E-11;9.52888468;1.397567381;0.027973779;-0.001091377;1.29E-05;-6.72E-08;1.31E-10;2777.457614;24.22068707;-1.153715591;0.025559228;-0.00030079;1.79E-06;-4.25E-09
Novomet;143;60;I/I_nom;42.88703277;-0.330535863;0.035051346;-0.00076853;9.47E-06;-5.73E-08;1.35E-10;2.044493367;5.370486055;-0.147921347;0.002282661;-2.04E-05;9.78E-08;-1.95E-10;16.72325129;3.124897199;-0.078883823;0.001258924;-1.19E-05;6.00E-08;-1.26E-10;3508.009829;9.13992907;-0.456369123;0.009727576;-0.000114238;6.94E-07;-1.70E-09
Novomet;185;50;I/I_nom;34.18933426;-0.200773082;0.028219713;-0.000526281;6.03E-06;-3.52E-08;7.92E-11;9.324620644;6.005111286;-0.192373839;0.003303995;-3.15E-05;1.57E-07;-3.17E-10;3.541382063;4.181170293;-0.100180925;0.001449163;-1.26E-05;5.92E-08;-1.16E-10;2966.587631;2.89406091;-0.181347066;0.004051658;-4.70E-05;2.75E-07;-6.40E-10
Novomet;185;60;I/I_nom;39.38423205;-0.796384615;0.057519593;-0.001221879;1.46E-05;-8.80E-08;2.09E-10;3.567786248;5.82031557;-0.164232532;0.002435739;-1.97E-05;8.22E-08;-1.37E-10;18.70249492;1.557036704;0.013896428;-0.000776334;9.56E-06;-5.01E-08;9.74E-11;3452.154589;18.58370279;-0.991618426;0.023370155;-0.000285511;1.74E-06;-4.19E-09
